Year,Total number of wolf packs,Total numbers of Wolves,Number of pups surviving,Elk Population
1995,3,21,9,16791
1996,9,51,14,15194
1997,9,86,49,13597
1998,11,112,36,12000
1999,11,118,38,11600
2000,8,119,58,11200
2001,10,132,43,10800
2002,14,148,58,10400
2003,13,174,59,10000
2004,16,171,59,9945
2005,13,118,22,9891
2006,13,136,60,9837
2007,11,171,64,9783
2008,12,124,22,9729
2009,14,96,23,9675
2010,11,97,38,6070
2011,10,98,34,5351
2012,10,83,20,4633
2013,10,95,41,3915
2014,11,104,40,4379
2015,11,98,35,4844
2016,11,108,36,5012
2017,9,97,21,5180
2018,8,80,24,5349
2019,9,95,42,5800
2020,8,123,54,6091
2021,8,97,47,6382
2022,10,108,40,6673
2023,11,124,46,6651
