Sighting Animal,Sighting Evidence,Sighting Evidence Comment,Sighting Quantity,Sighting Presence,Sighting Evidence of Absence,Sighting Provisions Related,Sighting Evidence of Provision,Sighting Native American Presence,Observation Year,Observation Season,Observation Month,Observation Day,Observer Name,Observer ID,Observer Years,Observer Participation,Observer Point of Origin,Observer Notes,Observer Profession,Observer Official Status,Observer Gender,Observation Location,Observation Comments,Trip Participants,Trip Number Participants,Trip Purpose,Trip Comments,Trip Start Year,Trip Start Month,Trip Start Day,Trip End Year,Trip End Month,Trip End Day,Trip Digital Route Available,Source Document,Source Page,Source Author,Source Date of Publication,Source Title,Source Subtitle,Source Publisher,Source Publisher Location,Source Comments
Badger,assumption,kill,Unknown,1,,0,,0,1874,,,0,"Dunraven, Earl of",wtwq,1874,First Hand,international,"Listed under ""Dunraven"" in accordance with common usage; full name was Windham Thomas Wyndham to Quin.",hunter,Non to Official,M,upper Tom Miner Basin,,"Dunraven, Omohondo, Fred Bottler, Campbell, Kingsley, Wynne, Bromley",7,hunting,,1874,,0,1874,,0,0,Dunraven 1876,178,"Dunraven, Earl of (Windham Thomas Wyndam to Quin",1876,,,,,"pgs cont'd: 336 to 8,340 to 1,343 to 9,351,353 to 8,361 to 2,364 to 70,73"
Bear,assumption,wild bear hunt,Unknown,1,,0,,0,1873,,,0,"Stanley, Reverend E.J.",ejst,1873,First Hand,regional,Provided his own observations as well as reported comments of Native American,clergy,Non to Official,M,Crazy Mountains,,Rev. Stanley,,,"approached YNP from north, MHS, Tower, Mt Washburn, Canyon, Mary Mtn, geyser basins, Lake, MHS",1873,,0,1873,,0,0,Stanley 1878,15,"Stanley, Reverend E.J.",1878,,,,,
Bear,assumption,hunt,Unknown,1,,0,,0,1865,summer,September,3,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Emigrant Gulch area,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,21,"Hackney, John S.",1865,,,,,
Bear,assumption,hunt,Unknown,1,,0,,0,1872,summer,August,10,"Blackmore, William",wibl,1872,First Hand,international,,hunter,Non to Official,M,Mud Volcano,,"Hayden, Savage, Holmes, Bennet, Bottler, Houston, Blackmore, Lowe, Peale, Platt, Brown, Davis, Mounts, Stover, Ticknor, Hamilton, Bingham, Sloane, Smith, Stoner, Gannett, Bean",34,Northern Division of Hayden Survey,Yellowstone NP,1872,July,5,1872,October,5,1,Blackmore 1872:7,21,"Blackmore, William",1872,,,,,
Bear,assumption,"stock stampeded, must have been bear",Unknown,1,,0,,0,1871,summer,July,25,"Peale, Albert",alpe,"1871, 1872",First Hand,continental,,scientist,Official,M,,,"Ferdinand Hayden, George Allen, Albert Peale, Bob Bushnel, Jose, Jim, Joe Clark, Carrington, Logan, Lt Doane, Geiselman, Goodfellow, Steve, Smith, W H Jackson, Duncan, Cam, Stevenson, H W Elliott, Robert Adams, Thomas Moran",20,scientific expedition,"plus packers, cooks and stock; Yellowstone River, Yellowstone Lake, Firehole River, around Lake, Pelican Creek, Mirror Plateau, Lamar",1871,July,11,1871,August,27,1,Merrill 2005,31,Merrill,2005,,,,,
Bear,assumption,fear,Unknown,1,,0,,0,1871,summer,,0,"Clawson, Calvin C.",cacl,1871,First Hand,regional,,journalist,Non to Official,M,,,"Rossiter W. Raymond, Calvin C. Clawson, AF Thrasher, Eiler, JD Daugherty, Gilman Sawtell",6,tourists,"Virgina City, Madison River, Henry's Lake, Lower Geyser Basin, Yellowstone Lake, West Thumb, Grand Canyon, out west side of present YNP",1871,,0,1871,,0,0,Clawson 2003,38,"Clawson, Calvin C.",2003,,,,,
Bear,assumption,hunt,Unknown,1,,0,,0,1871,summer,August,11,"Clawson, Calvin C.",cacl,1871,First Hand,regional,,journalist,Non to Official,M,between Virgina City and Sawtell Ranch in Madison River Valley,,"Rossiter W. Raymond, Calvin C. Clawson, AF Thrasher, Eiler, JD Daugherty, Gilman Sawtell",6,tourists,"Virgina City, Madison River, Henry's Lake, Lower Geyser Basin, Yellowstone Lake, West Thumb, Grand Canyon, out west side of present YNP",1871,,0,1871,,0,0,Clawson 2003,42,"Clawson, Calvin C.",2003,,,,,
Bear,assumption,trapping,Unknown,1,,0,,0,1874,,,0,"Dunraven, Earl of",wtwq,1874,First Hand,international,"Listed under ""Dunraven"" in accordance with common usage; full name was Windham Thomas Wyndham to Quin.",hunter,Non to Official,M,Fort Ellis,,"Dunraven, Omohondo, Fred Bottler, Campbell, Kingsley, Wynne, Bromley",7,hunting,,1874,,0,1874,,0,0,Dunraven 1876,58,"Dunraven, Earl of (Windham Thomas Wyndam to Quin",1876,,,,,"pgs cont'd: 336 to 8,340 to 1,343 to 9,351,353 to 8,361 to 2,364 to 70,73"
Bear,assumption,hunt,Unknown,1,,0,,0,1872,,,0,"Norton, Harry J.",hano,1872,First Hand,regional,,journalist,Non to Official,M,YNP,,"Harry Norton, James Mills, MH Raymond, PA Largey, Hillhouse Raymond, Frank Woodall, Theodore Fletcher",7,,"Madison River, Geyser Basins, Yellowstone Lake, Canyon, Tower, Mammoth Hot Springs",1872,,0,1872,,0,0,Norton 1873,82,"Norton, Harry",1873,,,,,
Bear,assumption,relinquish it to old Bruin,Unknown,1,,0,,0,1873,summer,August,25,"Stanley, Reverend E.J.",ejst,1873,First Hand,regional,Provided his own observations as well as reported comments of Native American,clergy,Non to Official,M,near Mount Washburn,,Rev. Stanley,,,"approached YNP from north, MHS, Tower, Mt Washburn, Canyon, Mary Mtn, geyser basins, Lake, MHS",1873,,0,1873,,0,0,Stanley 1878,82,"Stanley, Reverend E.J.",1878,,,,,
Bear,assumption,almost certain to find slaughtered game,Unknown,1,,0,,0,1872,,,0,"Gibbon, John",jogi,1872,First Hand,continental,,military personnel,Non to Official,M,small meadow in area south of Mount Washburn,,John Gibbon,,,military,1872,,0,1872,,0,0,Gibbon 1994,85,"Gibbon, John",1994,,,American Catholic Quarterly Review,,
Bear,assumption,prowling for meat in camp,Unknown,1,,0,,0,1872,summer,August,3,"Blackmore, William",wibl,1872,First Hand,international,,hunter,Non to Official,M,"near Slough Creek, 15 miles upstream from the mouth of Buffalo Creek",,"Hayden, Savage, Holmes, Bennet, Bottler, Houston, Blackmore, Lowe, Peale, Platt, Brown, Davis, Mounts, Stover, Ticknor, Hamilton, Bingham, Sloane, Smith, Stoner, Gannett, Bean",34,Northern Division of Hayden Survey,Yellowstone NP,1872,July,5,1872,October,5,1,Blackmore 1872:6,99,"Blackmore, William",1872,,,,,
Bear,assumption,hunt,Unknown,1,,0,,0,1879,,,0,"Pickett, William D.",wipi,"1877, 1879, 1880, 1881",First Hand,continental/resident,,rancher,Non to Official,M,Clark's Fork,,"Pickett, Cochran",,hunting,,1879,,0,1879,,0,0,Pickett 1913,140,"Pickett, William D.",1913,,,,,
Bear,assumption,pursuit of a bear,Unknown,1,,0,,0,1872,summer,August,13,"Langford, Nathaniel P.",npla,"1870, 1872",First Hand,regional,,businessman,Official,M,Lower Geyser Basin,,"Langford, Stevenson, Leigh, Bechler, Medary, Adams, Sibley, Bradley, Carrington, Brown, Hamp, Bottler, Sloane, Bean, Jackson, Merriam",30,Southern Division of Hayden Survey,"Teton Range, southern YNP",1872,July,0,1872,October,0,1,Langford 1873b,152,"Langford, Nathaniel P.",1873,,,,,
Bear,assumption,desirous of killing a bear,Unknown,1,,0,,0,1872,summer,August,13,"Langford, Nathaniel P.",npla,"1870, 1872",First Hand,regional,,businessman,Official,M,Lower Geyser Basin,,"Langford, Stevenson, Leigh, Bechler, Medary, Adams, Sibley, Bradley, Carrington, Brown, Hamp, Bottler, Sloane, Bean, Jackson, Merriam",30,Southern Division of Hayden Survey,"Teton Range, southern YNP",1872,July,0,1872,October,0,1,Langford 1873b,152,"Langford, Nathaniel P.",1873,,,,,
Bear,assumption,fearful of bears,Unknown,1,,0,,0,1874,,,0,"Dunraven, Earl of",wtwq,1874,First Hand,international,"Listed under ""Dunraven"" in accordance with common usage; full name was Windham Thomas Wyndham to Quin.",hunter,Non to Official,M,Bottler's Ranch,,"Dunraven, Omohondo, Fred Bottler, Campbell, Kingsley, Wynne, Bromley",7,hunting,,1874,,0,1874,,0,0,Dunraven 1876,170,"Dunraven, Earl of (Windham Thomas Wyndam to Quin",1876,,,,,"pgs cont'd: 336 to 8,340 to 1,343 to 9,351,353 to 8,361 to 2,364 to 70,73"
Bear,assumption,kill,Unknown,1,,0,,0,1874,,,0,"Dunraven, Earl of",wtwq,1874,First Hand,international,"Listed under ""Dunraven"" in accordance with common usage; full name was Windham Thomas Wyndham to Quin.",hunter,Non to Official,M,upper Tom Miner Basin,,"Dunraven, Omohondo, Fred Bottler, Campbell, Kingsley, Wynne, Bromley",7,hunting,,1874,,0,1874,,0,0,Dunraven 1876,178,"Dunraven, Earl of (Windham Thomas Wyndam to Quin",1876,,,,,"pgs cont'd: 336 to 8,340 to 1,343 to 9,351,353 to 8,361 to 2,364 to 70,73"
Bear,assumption,hoped to find bear at carcass,Unknown,1,,0,,0,1881,summer,September,10,"Leckler, H. Banard",hble,1881,First Hand,continental,,tourist,Non to Official,M,Upper Geyser Basin area,,"Leckler, Mrs Leckler, Ellis, Mrs Ellis, Bill Cromwell, Bob Pratt, Reis, George Graham",7,,"entered from west, geyser basins, Mary Mtn to Canyon, Washbun, MHS, left north",1881,August,21,1881,September,27,0,Leckler 1884j,237,"Leckler, H. Banard",1881,,,,,
Bear,assumption,hunt,Unknown,1,,0,,0,1849,winter,,0,"Hamilton, William",wiha,"1839, 1842, 1849",First Hand,regional,,trapper,Non to Official,M,South Fork of Shoshone River,,William Hamilton,7,,,1849,February,0,1849,March,0,0,Hamilton 1910,244,Hamilton,1910,,,,,
Bear,assumption,hunt,Unknown,1,,0,,0,1849,winter,March,4,"Hamilton, William",wiha,"1839, 1842, 1849",First Hand,regional,,trapper,Non to Official,M,"""Dunwiddy Lake""",,William Hamilton,7,,,1849,February,0,1849,March,0,0,Hamilton 1910,249,Hamilton,1910,,,,,
