Attitudes by Wolf Presence Status,,,,
Status,Positive (%),Negative (%),Neutral (%),
Persisting (Always Present),45,33,22,
Returned (After Absence),58,25,17,
Absent (No Wolves),65,18,17,
Mixed Areas,52,28,20,
,,,,
Attitudes by Stakeholder Group,,,,
Stakeholder Group,Positive (%),Negative (%),Neutral (%),
General Public,61,22,17,
Hunters,43,45,12,
Farmers/Ranchers,35,55,10,
Environmental Groups,69,12,19,
Urban Residents,67,15,18,
Rural Residents,41,43,16,
,,,,
 Trends in Wolf Attitudes Over Time,,,,
Period,Positive (%),Negative (%),Number of Studies,
1975-1980,48,42,5,
1981-1985,49,41,7,
1986-1990,50,39,12,
1991-1995,51,35,16,
1996-2000,52,33,20,
2001-2005,53,31,24,
2006-2010,54,30,28,
2011-2015,55,29,32,
2016-2020,56,28,36,
,,,,
Factors Influencing Wolf Attitudes,,,,
Factor,Relative Importance (%),,,
Direct Economic Impact,85,,,
Perceived Risk,80,,,
Rural/Urban Divide,75,,,
Cultural Values,70,,,
Knowledge Level,65,,,
Age,60,,,
Education,55,,,
Income,50,,,
Gender,45,,,
,,,,
Demographic Correlates with Wolf Attitudes,,,,
Demographic Factor,Positive Attitudes (%),Negative Attitudes (%),,
Age (Older),40,65,,
Education (Higher),65,35,,
Income (Higher),62,38,,
Rural Residence,41,62,,
Urban Residence,67,30,,
Direct Experience,38,70,,
Knowledge Level,60,40,,
,,,,
,,,,
ECONOMIC IMPACT,,,,
Sector,Jobs,"Labor Income($Billions, $2023)","Value added($Billions, $2023)","Output($Billions, $2023)"
Lodging,89200,4,6.78,9.9
Restaurants,68600,1.74,2.68,5.15
Recreation Industries,34400,1.09,1.26,2.22
Transportation,15500,0.6,1.33,1.9
Retail,21300,0.61,0.75,1.19
Gas,5200,0.22,0.35,0.61
Camping,6100,0.32,0.44,0.56
Groceries,7000,0.26,0.35,0.56
Total Direct Effects,247300,8.84,13.94,22.09
Secondary Effects,168100,10.52,18.09,33.48
,,1.36,32.03,55.57
