wolfID,YearDied,xPosition,yPosition
1,1914,280,116
2,1914,274,137
3,1914,250,145
4,1914,297,142
5,1914,296,150
6,1914,307,149
7,1914,322,156
8,1915,337,157
9,1915,336,169
10,1915,450,241
11,1915,420,237
12,1915,411,169
13,1915,398,179
14,1916,302,299
15,1916,299,324
16,1916,376,294
17,1916,372,309
18,1916,364,314
19,1916,345,319
20,1916,354,330
21,1916,401,450
22,1916,416,533
23,1916,434,556
24,1917,343,525
25,1917,52,80
26,1918,290,461
27,1918,356,368
28,1918,358,321
29,1918,346,181
30,1918,329,164
31,1918,336,178
32,1918,328,178
33,1918,374,128
34,1918,372,174
35,1918,356,164
36,1918,342,147
37,1918,298,123
38,1918,282,128
39,1918,241,142
40,1918,259,151
41,1918,303,164
42,1918,303,173
43,1918,379,254
44,1918,384,262
45,1918,158,149
46,1918,195,246
47,1918,302,163
48,1918,304,165
49,1918,300,159
50,1918,307,162
51,1918,296,163
52,1918,305,160
53,1918,298,164
54,1918,301,167
55,1918,303,157
56,1918,299,162
57,1918,302,168
58,1918,308,165
59,1918,306,159
60,1918,301,161
61,1919,297,160
62,1919,305,166
63,1920,300,166
64,1920,303,158
65,1920,298,167
66,1920,49,76
67,1920,361,371
68,1920,296,122
69,1920,297,123
70,1920,294,120
71,1920,295,121
72,1920,298,124
73,1920,296,120
74,1920,295,123
75,1920,297,121
76,1920,302,299
77,1920,260,151
78,1920,262,152
79,1920,258,150
80,1920,261,153
81,1920,259,149
82,1920,260,150
83,1920,261,149
84,1920,258,153
85,1920,411,169
86,1920,327,178
87,1920,326,177
88,1920,329,179
89,1921,328,176
90,1921,325,178
91,1921,327,180
92,1921,326,176
93,1921,329,177
94,1921,379,254
95,1921,374,129
96,1921,373,130
97,1921,375,127
98,1921,372,128
99,1921,376,129
100,1921,374,131
101,1921,237,139
102,1921,385,263
103,1922,386,262
104,1922,384,264
105,1922,300,168
106,1922,373,175
107,1922,374,176
108,1922,372,174
109,1922,157,144
110,1922,281,128
111,1922,282,127
112,1922,280,129
113,1922,259,151
114,1922,263,149
115,1922,263,156
116,1922,303,164
117,1922,305,168
118,1922,301,160
119,1922,280,116
120,1922,282,116
121,1922,277,111
122,1922,274,137
123,1922,279,131
124,1922,270,132
125,1922,250,145
126,1922,412,536
127,1922,421,528
128,1923,434,556
129,1923,434,551
130,1923,428,555
131,1923,343,525
132,1923,339,523
133,1923,340,519
134,1926,52,80
135,1926,50,77
