Year,Message,Source
1914,The Bureau had published directions on the proper method to kill wolves.,"Phelps, Christina L., ""The Policy Behind the Reintroduction of Gray Wolves into Yellowstone"" (1995). Honors Theses. Paper 43."
1915,"Wolves were called ""a decided menace to herds of elk, deer, mountain sheep, and antelope"".",Yellowstone Superintendent Annual Report 1915
1916,"""The Bureau had been appropriated $125,000 to control animals"" which would be over 3.8 million dollars today.","Phelps, Christina L., ""The Policy Behind the Reintroduction of Gray Wolves into Yellowstone"" (1995). Honors Theses. Paper 43."
1917,"""The Bureau had been appropriated $125,000 to control animals"" which would be over 3.8 million dollars today.","Phelps, Christina L., ""The Policy Behind the Reintroduction of Gray Wolves into Yellowstone"" (1995). Honors Theses. Paper 43."
1918,"""The Bureau had been appropriated $125,000 to control animals"" which would be over 3.8 million dollars today.","Phelps, Christina L., ""The Policy Behind the Reintroduction of Gray Wolves into Yellowstone"" (1995). Honors Theses. Paper 43."
1919,"According to the Superintendent of Yellowstone National Park there were efforts to ""exterminate"" the wolves.",Yellowstone Superintendent Monthly Report February 1919
1920,"According to the Superintendent of Yellowstone National Park there were efforts to ""exterminate"" the wolves.",Yellowstone Superintendent Monthly Report February 1919
1921,"According to the Superintendent of Yellowstone National Park there were efforts to ""exterminate"" the wolves.",Yellowstone Superintendent Monthly Report February 1919
1922,"""It is evident that the work of controlling these animals must be vigorously prosecuted by the most effective means available, whether or not this meets with the approval of certain game conservationists.""",Supt Monthly Repot May 1922
1923,"""It is evident that the work of controlling these animals must be vigorously prosecuted by the most effective means available, whether or not this meets with the approval of certain game conservationists.""",Supt Monthly Repot May 1922
1924,"""It is evident that the work of controlling these animals must be vigorously prosecuted by the most effective means available, whether or not this meets with the approval of certain game conservationists.""",Supt Monthly Repot May 1922
1925,"""It is evident that the work of controlling these animals must be vigorously prosecuted by the most effective means available, whether or not this meets with the approval of certain game conservationists.""",Supt Monthly Repot May 1922
1926,"In 1926, the National Park rangers killed the last known wolf pups in the park, and with them the last known reproduction effort of wolves.","Phelps, Christina L., ""The Policy Behind the Reintroduction of Gray Wolves into Yellowstone"" (1995). Honors Theses. Paper 43."
1927,,
