Birth Location;Lat;Long
Amethyst Creek Area, Lamar Valley, YNP;44.86937166083984; -110.17472907703187
Antelope Basin, YNP;44.70190780050056;-111.51443720451974
Antelope Creek Area, YNP;44.85146030238975;-110.37849851638427
Antelope Creek, YNP;44.85146030238975;-110.37849851638427
Augusta, Montana;47.49289134749846;-112.39213486366916
Bechler Area, Southwestern YNP;44.428580879591195;-110.58854007867875
Black Canyon of the Yellowstone, YNP;45.032338484433495;-110.65653625010276
Blacktail Deer Plateau, YNP;44.92607460290483;-110.55768406726462
Blacktail Plateau Area, YNP;44.94426282045229;-110.48659908120771
Blacktail Plateau, YNP;44.94426282045229;-110.48659908120771
Cache Creek Area, Upper Lamar Valley YNP;44.904310758031336;-109.97746421679366
Cache Creek Area, YNP;44.904310758031336;-109.97746421679366
Cinnabar Basin, Montana, USA;45.11460623518908;-110.8646591604294
Cub Creek Area, YNP;44.50160159490914;-110.20346626114548
Daly Creek Area, Northwest YNP;45.076689522545806;-111.11724155781228
DuNoir Valley near Dubois, WY;43.66474504539987; -109.79309258891836
DuNoir Valley, WY;43.725410539841114;-109.82955591217555
Eastern Blacktail Deer Plateau, YNP;44.926803834877475;-110.56231892398677
Eastern Little America, YNP;41.54220890155605;-109.86729157573843
Firehole River Area, YNP;44.50401744534708;-110.80200638097199
Gardner's Hole, YNP;44.952810943555946;-110.77980167266195
Gardner's Hole/Swan Lake Flat Area, YNP;44.912983382619736;-110.7248806491814
Geode Creek Area, Northern YNP;44.975161068676805;-110.48799078833164
Geode Creek Area, YNP;44.97030344167847;-110.48936408027535
Gibbon Meadows, YNP;44.70314575771144;-110.74085681993873
Grand Teton National Park Area;43.8176811066865;-110.54313367616858
Greater Yellowstone Area, East of YNP;45.84083442259512;-110.50446753814697
Hayden Valley Area, YNP;44.64601906720004;-110.44415160236726
Hayden Valley, YNP;44.64601906720004;-110.44415160236726
Heart Lake Area, YNP;44.27054222722865; -110.48787471119094
Hellroaring to Crevice Creek area, YNP;45.00330861544263;-110.42526164924621
Lamar Valley Area, YNP;44.86909792666064;-110.17318412612244
Lamar Valley, YNP;44.869767052355975; -110.1715962585417
Little America Area, North Central YNP;41.543750678429724;-109.86111176677558
Little America, YNP;41.543750678429724;-109.86111176677558
Madison River Valley, YNP;45.69324306099365;-111.47795017011181
Madison Valley Area, YNP;44.731452309665706; -111.2031626786829
Madison-Firehole Area, YNP;45.69324306099365;-111.46009738866361
Madison-Firehole Rivers Area, YNP;45.69324306099365;-111.46009738866361
Mount Everts, YNP;44.97674938706694;-110.65342412571584
Near Nye, Montana;45.433376100789424; -109.80912469288513
Near Old Faithful, YNP;44.46090715942989;-110.82642113437473
Nez Perce Pen, YNP;44.57935402833558;-110.82962579565029
North Central Yellowstone National Park;44.63990039908804;-110.86487380691963
Northern YNP;44.388166345504835;-110.58932051168189
Northwestern YNP;43.8590142179403;-108.24771151848127
Paradise Valley, Montana;45.606136178959844;-110.56338130240613
Pelican Valley area, YNP;44.56626889405359;-110.34473760777581
Pelican Valley, YNP;44.56626889405359;-110.34473760777581
Quadrant Mountain Area, YNP;44.90624595467429;-110.82065783798379
Red Lodge, Montana;45.186158625358765;-109.24775879346276
Round Prairie Area, Northeast YNP;44.91385611480116;-110.09648463324861
Sheep Mountain Area, North of YNP;43.545559157024506;-110.51595345810838
Slough Creek Area, YNP;44.966626938067904; -110.23242220324067
Slough Creek, YNP;44.97159435775128;-110.2190132419684
Soda Butte Creek, YNP;44.94663798904436; -110.16355437473618
South Fork Area, Wyoming;44.51120990482572; -109.09993210365884
Southcentral YNP;44.590119972397225; -110.56125682174157
Southeast Grand Teton National Park;43.83749568684782; -110.5541200032136
Southeastern Yellowstone National Park;44.632988566181176;-110.74548404692413
Southern Boundary Area, YNP;47.67933252453953;-122.70939947802528
Southern Gallatin Mountains, Northwest YNP;45.00757609255387;-110.82585308224017
Southern YNP;45.03974664154547;-110.6823793987543
Southwestern YNP;45.03141213799158;-110.66047608280539
Specimen Ridge Area, YNP;44.87239857040409;-110.28765845877666
Specimen Ridge, YNP;44.859049306952855;-110.29451742728915
Stillwater River, WY;45.49458281253923;-109.66156121032968
Swan Lake Flat, YNP;44.913712780763504;-110.72676892414225
Swan Lake Flats, YNP;44.913712780763504;-110.72676892414225
Swan Lake, Sepulcher Area, YNP;44.91981995667508;-110.73616891638657
Thorofare, Southeastern YNP;43.98392537944441;-109.82698464184058
Tom Miner Basin Area, Montana;45.18670358749357;-110.94542093918226
Tower Junction Area, YNP;44.918385309723156;-110.40897062639964
 Bechler Area, Southwestern YNP;44.154430547709744;-110.96128895340892
